10 : 10, data missing, NULL
5 3 1 1 : 4 1 1 1 1 1 1, data missing, 11
5 3 1 1 : 3 3 3 1, data missing, 1
5 3 1 1 : 3 3 2 2, data missing, 2
5 3 1 1 : 3 3 2 1 1, data missing, 5
5 3 1 1 : 3 3 1 1 1 1, data missing, 8
5 3 1 1 : 3 2 2 2 1, data missing, 5
5 3 1 1 : 3 2 2 1 1 1, data missing, 8
5 3 1 1 : 3 2 1 1 1 1 1, data missing, 11
5 3 1 1 : 3 1 1 1 1 1 1 1, 2209*x**14/239500800 + 11083*x**13/37065600 + 302717*x**12/68428800 + 452579*x**11/11404800 + 60175*x**10/248832 + 367289*x**9/345600 + 151837367*x**8/43545600 + 9033787*x**7/1036800 + 104121323*x**6/6220800 + 25622609*x**5/1036800 + 474917473*x**4/17107200 + 22033747*x**3/950400 + 22898947*x**2/1663200 + 9073*x/1716 + 1, 14
5 3 1 1 : 2 2 2 2 2, data missing, 5
5 3 1 1 : 2 2 2 2 1 1, data missing, 8
5 3 1 1 : 2 2 2 1 1 1 1, data missing, 11
5 3 1 1 : 2 2 1 1 1 1 1 1, 176303*x**14/8717829120 + 441443*x**13/691891200 + 547871*x**12/59875200 + 1149733*x**11/14515200 + 10090879*x**10/21772800 + 28227539*x**9/14515200 + 461449357*x**8/76204800 + 69043453*x**7/4838400 + 1118471119*x**6/43545600 + 256303969*x**5/7257600 + 4400168897*x**4/119750400 + 565348411*x**3/19958400 + 2352364691*x**2/151351200 + 45569*x/8190 + 1, 14
5 3 1 1 : 2 1 1 1 1 1 1 1 1, data missing, 17
5 2 2 1 : 5 2 2 1, data missing, 0
5 2 2 1 : 5 2 1 1 1, data missing, 1
5 2 2 1 : 5 1 1 1 1 1, data missing, 4
5 2 2 1 : 4 4 2, data missing, -1
5 2 2 1 : 4 4 1 1, data missing, -1
